2000.12.11 18:02 B C:\Documents and Settings\DAN1\MyDocs\My Webs\NewsArticles\00-10-10-HC-Nada-5.htm --> www.unabombers.com /www/NewSite/NewsArticles 00-10-10-HC-Nada-5.htm
2000.12.11 18:03 B C:\Documents and Settings\DAN1\MyDocs\My Webs\NewsArticles\00-11-02-BS-NotebookInSpanish-3.htm --> www.unabombers.com /www/NewSite/NewsArticles 00-11-02-BS-NotebookInSpanish-3.htm
2000.12.11 18:03 B C:\Documents and Settings\DAN1\MyDocs\My Webs\NewsArticles\00-93-06-26-BG-BAdCopy-.htm --> www.unabombers.com /www/NewSite/NewsArticles 00-93-06-26-BG-BAdCopy-.htm
2000.12.11 18:03 B C:\Documents and Settings\DAN1\MyDocs\My Webs\NewsArticles\90-01-02--USA-Irrelevant.htm --> www.unabombers.com /www/NewSite/NewsArticles 90-01-02--USA-Irrelevant.htm
2000.12.11 18:03 B C:\Documents and Settings\DAN1\MyDocs\My Webs\NewsArticles\90-08-07-USA-SUSPICIOUSCOUNT-1.htm --> www.unabombers.com /www/NewSite/NewsArticles 90-08-07-USA-SUSPICIOUSCOUNT-1.htm
2000.12.11 18:03 B C:\Documents and Settings\DAN1\MyDocs\My Webs\NewsArticles\90-10-06-USA-3Dead-SUSPICOUSCOUNT-1.htm --> www.unabombers.com /www/NewSite/NewsArticles 90-10-06-USA-3Dead-SUSPICOUSCOUNT-1.htm
2000.12.11 18:04 B C:\Documents and Settings\DAN1\MyDocs\My Webs\NewsArticles\93-06-23-BG-Epstein-Gelerntner4.htm --> www.unabombers.com /www/NewSite/NewsArticles 93-06-23-BG-Epstein-Gelerntner4.htm
2000.12.11 18:04 B C:\Documents and Settings\DAN1\MyDocs\My Webs\NewsArticles\93-06-23-NYT-Epstein-Gelertner2.htm --> www.unabombers.com /www/NewSite/NewsArticles 93-06-23-NYT-Epstein-Gelertner2.htm
2000.12.11 18:04 B C:\Documents and Settings\DAN1\MyDocs\My Webs\NewsArticles\93-06-25-HC-Gelertner4.htm --> www.unabombers.com /www/NewSite/NewsArticles 93-06-25-HC-Gelertner4.htm
2000.12.11 18:04 B C:\Documents and Settings\DAN1\MyDocs\My Webs\NewsArticles\93-06-25-SFC-Gelernter-BrotherThreat-1.htm --> www.unabombers.com /www/NewSite/NewsArticles 93-06-25-SFC-Gelernter-BrotherThreat-1.htm
2000.12.11 18:04 B C:\Documents and Settings\DAN1\MyDocs\My Webs\NewsArticles\93-06-25-ST-Gelernter-BrotherThreat-1.htm --> www.unabombers.com /www/NewSite/NewsArticles 93-06-25-ST-Gelernter-BrotherThreat-1.htm
2000.12.11 18:04 B C:\Documents and Settings\DAN1\MyDocs\My Webs\NewsArticles\93-06-25-USA-Warning-4.htm --> www.unabombers.com /www/NewSite/NewsArticles 93-06-25-USA-Warning-4.htm
2000.12.11 18:05 B C:\Documents and Settings\DAN1\MyDocs\My Webs\NewsArticles\93-06-25-WP-Gelernter-Relatives-3.htm --> www.unabombers.com /www/NewSite/NewsArticles 93-06-25-WP-Gelernter-Relatives-3.htm
2000.12.11 18:05 B C:\Documents and Settings\DAN1\MyDocs\My Webs\NewsArticles\93-06-26-LAT-Scrutton-FC-1.htm --> www.unabombers.com /www/NewSite/NewsArticles 93-06-26-LAT-Scrutton-FC-1.htm
2000.12.11 18:05 B C:\Documents and Settings\DAN1\MyDocs\My Webs\NewsArticles\93-06-26-SDU-Panic-5.htm --> www.unabombers.com /www/NewSite/NewsArticles 93-06-26-SDU-Panic-5.htm
2000.12.11 18:05 B C:\Documents and Settings\DAN1\MyDocs\My Webs\NewsArticles\93-06-26-WP-MiscTheorys-CrasyStereotype-3.htm --> www.unabombers.com /www/NewSite/NewsArticles 93-06-26-WP-MiscTheorys-CrasyStereotype-3.htm
2000.12.11 18:05 B C:\Documents and Settings\DAN1\MyDocs\My Webs\NewsArticles\93-06-27-BG-Misc-5.htm --> www.unabombers.com /www/NewSite/NewsArticles 93-06-27-BG-Misc-5.htm
2000.12.11 18:05 B C:\Documents and Settings\DAN1\MyDocs\My Webs\NewsArticles\93-06-27-BG2-Misc-5.htm --> www.unabombers.com /www/NewSite/NewsArticles 93-06-27-BG2-Misc-5.htm
2000.12.11 18:06 B C:\Documents and Settings\DAN1\MyDocs\My Webs\NewsArticles\93-06-27-ST-MiscTheorys-CrasyStereotype-3.htm --> www.unabombers.com /www/NewSite/NewsArticles 93-06-27-ST-MiscTheorys-CrasyStereotype-3.htm
2000.12.11 18:06 B C:\Documents and Settings\DAN1\MyDocs\My Webs\NewsArticles\93-06-29-PG-Warnings-3.htm --> www.unabombers.com /www/NewSite/NewsArticles 93-06-29-PG-Warnings-3.htm
2000.12.11 18:06 B C:\Documents and Settings\DAN1\MyDocs\My Webs\NewsArticles\93-06-30-MONTREALBombDetails-1.htm --> www.unabombers.com /www/NewSite/NewsArticles 93-06-30-MONTREALBombDetails-1.htm
2000.12.11 18:06 B C:\Documents and Settings\DAN1\MyDocs\My Webs\NewsArticles\93-07-12-NYT-Details-FC-2.htm --> www.unabombers.com /www/NewSite/NewsArticles 93-07-12-NYT-Details-FC-2.htm
2000.12.11 18:06 B C:\Documents and Settings\DAN1\MyDocs\My Webs\NewsArticles\93-07-12-NYT2-RickyTims-1.htm --> www.unabombers.com /www/NewSite/NewsArticles 93-07-12-NYT2-RickyTims-1.htm
2000.12.11 18:06 B C:\Documents and Settings\DAN1\MyDocs\My Webs\NewsArticles\93-08-12-WP-Gelernter-4.htm --> www.unabombers.com /www/NewSite/NewsArticles 93-08-12-WP-Gelernter-4.htm
2000.12.11 18:07 B C:\Documents and Settings\DAN1\MyDocs\My Webs\NewsArticles\93-08-22-NYT-generalcrime-5.htm --> www.unabombers.com /www/NewSite/NewsArticles 93-08-22-NYT-generalcrime-5.htm
2000.12.11 18:07 B C:\Documents and Settings\DAN1\MyDocs\My Webs\NewsArticles\93-09-27-SDU-MiscPanic-4.htm --> www.unabombers.com /www/NewSite/NewsArticles 93-09-27-SDU-MiscPanic-4.htm
2000.12.11 18:07 B C:\Documents and Settings\DAN1\MyDocs\My Webs\NewsArticles\93-10-07-HC-NathanR-Reward-Announced-2.htm --> www.unabombers.com /www/NewSite/NewsArticles 93-10-07-HC-NathanR-Reward-Announced-2.htm
2000.12.11 18:07 B C:\Documents and Settings\DAN1\MyDocs\My Webs\NewsArticles\93-10-07-LAT-NathanR-Reward Announced-1.htm --> www.unabombers.com /www/NewSite/NewsArticles 93-10-07-LAT-NathanR-Reward Announced-1.htm
2000.12.11 18:07 B C:\Documents and Settings\DAN1\MyDocs\My Webs\NewsArticles\93-10-07-NYT-NathanR-Reward-4.htm --> www.unabombers.com /www/NewSite/NewsArticles 93-10-07-NYT-NathanR-Reward-4.htm
2000.12.11 18:08 B C:\Documents and Settings\DAN1\MyDocs\My Webs\NewsArticles\93-10-07-PG-NathanR-Reward-Nuts.htm --> www.unabombers.com /www/NewSite/NewsArticles 93-10-07-PG-NathanR-Reward-Nuts.htm
2000.12.11 18:08 B C:\Documents and Settings\DAN1\MyDocs\My Webs\NewsArticles\93-10-07-PI-NathanR-5.htm --> www.unabombers.com /www/NewSite/NewsArticles 93-10-07-PI-NathanR-5.htm
2000.12.11 18:08 B C:\Documents and Settings\DAN1\MyDocs\My Webs\NewsArticles\93-10-07-SPT-NathanR-Reward-5.htm --> www.unabombers.com /www/NewSite/NewsArticles 93-10-07-SPT-NathanR-Reward-5.htm
2000.12.11 18:08 B C:\Documents and Settings\DAN1\MyDocs\My Webs\NewsArticles\93-10-07-ST-NathanR-5.htm --> www.unabombers.com /www/NewSite/NewsArticles 93-10-07-ST-NathanR-5.htm
